Manufacturer,PermitNumber,VINNUMBER,AnnualTotalofDisengagements,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,ANNUALTOTAL
AImotive Inc.,AVT003,JTDKN3DU2A5101201,8,0,0,46,391,144,44,106,649,407,138,76,500,2501
AImotive Inc.,AVT003,JTDKN3DU5A1092792,9,253,0,477,815,393,183,138,45,0,0,0,0,2304
AImotive Inc.,AVT003,JTDKN3DU9A0059509,9,0,0,0,0,0,0,0,0,0,356,194,701,1251
Apple Inc.,AVT030,2T2BGMCA0GC007400,0,0,0,0,0,0,0,0,0,0,0,47,0,47
Apple Inc.,AVT030,2T2BGMCA0GC007946,0,0,0,0,0,0,0,0,0,0,7,31,0,38
Apple Inc.,AVT030,2T2BGMCA0HC014753,0,0,0,0,0,0,0,0,0,0,0,2,,2
Apple Inc.,AVT030,2T2BGMCA0HC019225,1,0,0,0,0,0,0,0,0,0,0,394,19,413
Apple Inc.,AVT030,2T2BGMCA0HC019967,3,0,0,0,0,0,0,0,0,0,108,207,27,342
Apple Inc.,AVT030,2T2BGMCA1HC014096,9,0,0,0,0,0,0,0,0,0,168,147,233,548
Apple Inc.,AVT030,2T2BGMCA2GC007754,3,0,0,0,0,0,0,24,55,116,0,0,0,195
Apple Inc.,AVT030,2T2BGMCA2GC008418,6,0,0,0,0,0,0,0,185,600,58,0,0,843
Apple Inc.,AVT030,2T2BGMCA2HC012521,6,0,0,0,0,0,0,0,0,0,73,177,139,389
Apple Inc.,AVT030,2T2BGMCA2HC019338,2,0,0,0,0,0,0,0,0,0,286,350,276,912
Apple Inc.,AVT030,2T2BGMCA2HC019890,12,0,0,0,0,0,0,14,335,497,40,0,0,886
Apple Inc.,AVT030,2T2BGMCA3HC020062,3,0,0,0,0,0,0,0,0,0,286,179,164,629
Apple Inc.,AVT030,2T2BGMCA4HC016912,1,0,0,0,0,0,0,0,0,0,0,86,17,103
Apple Inc.,AVT030,2T2BGMCA4HC019826,1,0,0,0,0,0,0,0,0,0,0,32,0,32
Apple Inc.,AVT030,2T2BGMCA4HC020118,5,0,0,0,0,0,0,0,0,0,308,196,0,504
Apple Inc.,AVT030,2T2BGMCA5HC014389,1,0,0,0,0,0,0,0,0,0,0,0,254,254
Apple Inc.,AVT030,2T2BGMCA6HC019228,1,0,0,0,0,0,0,0,41,58,0,0,0,99
Apple Inc.,AVT030,2T2BGMCA8GC003871,2,0,0,0,0,0,0,0,0,302,83,0,0,385
Apple Inc.,AVT030,2T2BGMCA8HC016136,0,0,0,0,0,0,0,0,128,0,0,0,0,128
Apple Inc.,AVT030,2T2BGMCA8HC017772,8,0,0,0,0,0,0,0,224,463,11,0,0,698
Apple Inc.,AVT030,2T2BGMCA9GC007394,0,0,0,0,0,0,0,0,0,0,0,0,34,34
Apple Inc.,AVT030,2T2BGMCAXHC018082,0,0,0,0,0,0,0,0,0,53,9,0,0,62
Apple Inc.,AVT030,2T2BGMCAXHC019927,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Apple Inc.,AVT030,2T2BGMCA2GC007334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple Inc.,AVT030,2T2BGMCA1GC008135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple Inc.,AVT030,2T2BGMCA3GC007861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple Inc.,AVT030,2T2BGMCA6GC007983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple Inc.,AVT030,2T2BGMCA9GC008464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple Inc.,AVT030,2T2BGMCA8GC007371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple Inc.,AVT030,2T2BGMCA3GC007911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple Inc.,AVT030,2T2BGMCA8GC008505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
