Manufacturer,PermitNumber,VINNUMBER,AnnualTotalofDisengagements,DEC 2019,JAN 2020,FEB 2020,MAR 2020,APR 2020,MAY 2020,JUN 2020,JULY 2020,AUG 2020,SEP 2020,OCT 2020,NOV 2020,ANNUALTOTAL,,,,,
AImotive Inc.,AVT036,JTDKN3DU2A5101201,25,201,224,118,0,0,0,0,0,0,0,0,0,543,,,,,
AImotive Inc.,AVT036,JTDKN3DU5A1092792,69,0,131,84,0,0,0,0,0,0,0,0,0,215,,,,,
AImotive Inc.,AVT036,JTDKN3DU9A0059509,19,382,498,533,451,0,0,0,0,43,42,156,124,2229,,,,,
Apple Inc.,AVT030,2T2BGMCA0HC014753,12,206.8,446.0,488.4,0.0,0.0,0.0,0.0,0.0,40.3,0.9,53.3,0.0,1235.7,,,,,
Apple Inc.,AVT030,2T2BGMCA0HC019225,2,22.7,2.4,450.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,,,,,
Apple Inc.,AVT030,2T2BGMCA0HC019967,2,54.1,0.3,280.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,5.0,343.7,,,,,
Apple Inc.,AVT030,2T2BGMCA1GC008135,5,0.0,313.4,177.3,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.8,0.0,492.3,,,,,
Apple Inc.,AVT030,2T2BGMCA1HC014096,4,54.0,190.1,432.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.5,,,,,
Apple Inc.,AVT030,2T2BGMCA2GC003882,0,13.7,11.0,17.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,,,,,
Apple Inc.,AVT030,2T2BGMCA2HC012521,5,322.1,356.3,271.2,4.3,0.0,0.0,0.0,0.9,16.9,13.9,14.4,4.3,1004.3,,,,,
Apple Inc.,AVT030,2T2BGMCA2HC019338,7,440.3,285.8,463.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.3,,,,,
Apple Inc.,AVT030,2T2BGMCA2HC020151,9,0.0,0.0,0.0,0.0,0.0,0.0,25.1,325.6,229.9,247.7,417.5,109.6,1355.5,,,,,
Apple Inc.,AVT030,2T2BGMCA3GC007861,12,0.0,26.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,,,,,
Apple Inc.,AVT030,2T2BGMCA3HC020062,9,229.3,642.8,73.6,0.0,0.0,7.4,18.6,0.0,0.0,0.0,0.0,0.0,971.7,,,,,
Apple Inc.,AVT030,2T2BGMCA4HC016845,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,,,,,
Apple Inc.,AVT030,2T2BGMCA4HC019826,0,1.4,0.0,264.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.2,,,,,
Apple Inc.,AVT030,2T2BGMCA4HC020118,10,35.0,0.0,0.7,0.0,0.0,0.0,724.6,760.9,633.2,805.9,0.0,1.4,2961.7,,,,,
Apple Inc.,AVT030,2T2BGMCA5HC014389,23,103.4,205.1,503.9,0.0,0.0,0.0,438.7,890.7,775.5,777.8,111.3,0.0,3806.5,,,,,
Apple Inc.,AVT030,2T2BGMCA6GC007983,1,0.0,0.0,62.6,0.0,0.0,0.0,0.0,0.0,51.6,195.7,0.0,0.0,309.8,,,,,
Apple Inc.,AVT030,2T2BGMCA6HC016667,1,1.8,3.1,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,,,,,
Apple Inc.,AVT030,2T2BGMCA7GC003781,1,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,,,,
Apple Inc.,AVT030,2T2BGMCA7GC007068,1,0.0,86.3,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.1,,,,,
Apple Inc.,AVT030,2T2BGMCA7HC014877,3,0.0,0.0,152.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.9,,,,,
Apple Inc.,AVT030,2T2BGMCA8GC003823,0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,11.6,,,,,
Apple Inc.,AVT030,2T2BGMCA8GC008424,0,1.0,0.7,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,,,,,
